route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2025_08_11-DX-MVS-Weekday-003,1771625,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771575,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771623,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771622,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771624,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771576,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771626,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771621,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771627,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771620,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771628,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771577,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771629,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771578,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771630,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771579,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771631,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771580,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771632,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771581,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771633,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771582,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
